"outcome","respiratory","mean_beta","mean_adj_r2","mean_conditional_r2","significant_models","model1_beta","model1_p","model1_adjR2","model1_condR2","model2_beta","model2_p","model2_adjR2","model2_condR2","model3_beta","model3_p","model3_adjR2","model3_condR2","model4_beta","model4_p","model4_adjR2","model4_condR2"
"dsq_sum","pif_post_max",-0.424155998701766,0.181026992852278,0.699804964175937,4,-0.370791907109244,0.00474532415686107,0.14517730290436,0.688256507364587,-0.369945864131722,0.00637178640568737,0.194318254138799,0.711353420987287,-0.48307095198154,0.0227634949321592,0.195025421880769,NA,-0.472815271584557,0.0329363353709169,0.189586992485185,NA
"dsq_sum","pif_pre_max",-0.310301833053301,0.0927169953624679,0.693189841372998,2,-0.33666297282336,0.00869647188190823,0.119328640823281,0.681420134323036,-0.335172274122184,0.0105051129241687,0.173942782073215,0.704959548422959,-0.278477940731395,0.209501456990809,0.0314274616476984,NA,-0.290894144536265,0.19307202030264,0.0461690969056774,NA
"dsq_sum","sindex_post_max",-0.433118014466114,0.188182697276639,0.693151101437858,4,-0.373206847028107,0.0048200880786088,0.147701284818402,0.68168073670613,-0.372883146940179,0.00669567486635442,0.195032860656524,0.704621466169585,-0.496220096721563,0.0188296295955524,0.208546103609875,NA,-0.490161967174609,0.0283346181354758,0.201450540021756,NA
"dsq_sum","sindex_pre_max",-0.315731266407248,0.0961698883135587,0.688992580543746,2,-0.332030058905437,0.0093843957654558,0.116454088037658,0.677090536221904,-0.330260024586585,0.0115577559213122,0.170548139036362,0.700894624865589,-0.293752532718131,0.184543702403236,0.0406050780022322,NA,-0.306882449418841,0.168595016134393,0.0570722481779824,NA
"dsq_sum","slopesmip_post_max",-0.206005484622927,0.156322319870584,0.566397827545297,0,-0.138713106574483,0.48042342591645,0.0192897904765542,0.54455553412934,-0.0416789410825714,0.826880280383865,0.220041174134655,0.588240120961253,-0.416378564386345,0.108656416006813,0.114326188086179,NA,-0.22725132644831,0.354987025294921,0.271632126784949,NA
"dsq_sum","slopesmip_pre_max",-0.245421581566301,0.162533096714664,0.586587556333688,0,-0.20841568236171,0.239061355982933,0.0435769372113817,0.567657458066041,-0.157788942585725,0.354629288881443,0.242666688523777,0.605517654601335,-0.388273460150084,0.137239631154181,0.0900960141324127,NA,-0.227208241167684,0.345541031752716,0.273792746991086,NA
"dsq_sum","smip_post_max",-0.209761495377351,0.0412005380497217,0.759873880774497,2,-0.327848639984458,0.0121460134394521,0.10066796669204,0.750913261535482,-0.326242713390102,0.0144363211414453,0.145861768426498,0.768834500013512,-0.107038090465062,0.635419076702666,-0.0379699895490728,NA,-0.0779165376697806,0.733075214431325,-0.0437575933705781,NA
"dsq_sum","smip_pre_max",-0.169819998246858,0.028948255267537,0.743374401167347,2,-0.310531432913863,0.0331514043268158,0.0890703002167171,0.734709101727494,-0.301924577147448,0.0485115602816906,0.123333234627247,0.7520397006072,-0.0623583244781168,0.782792670843808,-0.045917011336696,NA,-0.00446565844800438,0.985021144395879,-0.0506935024371202,NA
"dsq_sum","volume_post_max",-0.031347114882009,0.0148818321612907,0.656100252225585,0,-0.185862992693786,0.139840585232362,0.0350882811030124,0.643548323410722,-0.180542262019133,0.159678355619736,0.0949235460534713,0.668652181040448,0.118950060410027,0.598029594263611,-0.0351434272848736,NA,0.122066734774856,0.6114575049364,-0.0353410712264473,NA
"dsq_sum","volume_pre_max",0.0999589680994653,0.000271747222276257,0.630132398888607,0,0.0567027346681631,0.726597339829512,0.00321820691236389,0.620722548439565,0.113448043977981,0.551948248722835,0.0749973198110463,0.639542249337648,0.0782063466426604,0.729388769434478,-0.0435779557120484,NA,0.151478747109057,0.591271630374721,-0.0335505821222568,NA
"fss_sum","fit_post_max",-0.234329261827444,0.0582195345963275,0.339962428247885,0,-0.153318475814386,0.352532083683884,0.0228207614017954,0.325758065710815,-0.145961745394013,0.377510692785036,0.085807006114098,0.354166790784955,-0.316276722018985,0.15157408294835,0.0550325131356278,NA,-0.321760104082395,0.153897150351676,0.0692178577337889,NA
"fss_sum","fit_pre_max",-0.207817308722557,0.0484342773648565,0.332005280541069,0,-0.122890142542879,0.456966260523144,0.0146737741128002,0.317647954007292,-0.109085275808054,0.507961592752456,0.0772185910950721,0.346362607074846,-0.310576385076085,0.159494955698472,0.051280575515275,NA,-0.28871743146321,0.194178370889243,0.0505641687362788,NA
"fss_sum","id_post_max",-0.0823460024761412,0.0179368724976373,0.463023767320861,0,-0.0598356884173189,0.774507860213767,0.00340835154634838,0.456746343786477,-0.0485536123821027,0.811647464915897,0.131813718996064,0.469301190855245,-0.12104472976346,0.655198840290867,-0.0557301857819545,NA,-0.0999499793416833,0.713071697162046,-0.00774439476990851,NA
