outcome,resp_type,n,r_pre,r_pre_ci_low,r_pre_ci_high,r_post,r_post_ci_low,r_post_ci_high,r_diff,r_diff_ci_low,r_diff_ci_high,r_xprepost,t_steiger,p_steiger_two,direction_H1,p_steiger_one
woods_sum,pif,22,-0.111048718323512,-0.508834025441056,0.325814041456303,-0.261256275596545,-0.615111510484077,0.180200915107573,-0.150207557273034,-0.475133349722564,0.196479484440339,0.668764411495528,0.83620069454866,0.413435316640228,post_stronger,0.206717658320114
woods_sum,volume,22,0.0301222534008286,-0.396521941422516,0.446065755957169,0.217021285328557,-0.22519175866243,0.585094730431783,0.186899031927728,-0.116680254343792,0.501765515897051,0.823196194406536,-1.45664567579427,0.161542311758862,post_stronger,0.080771155879431
woods_sum,mip_pp_1,22,-0.332768255004406,-0.661561068504896,0.103338345463957,-0.350878092011448,-0.672936858007318,0.0830103369289046,-0.0181098370070425,-0.376364334510789,0.340304101996769,0.680406549971767,0.106245959220093,0.916500961471324,post_stronger,0.458250480735662
woods_sum,mip_pp_2,22,-0.21618617927157,-0.584518179350607,0.226023375980783,-0.286927730080329,-0.632073514127329,0.153215355220089,-0.0707415508087597,-0.382720252757447,0.236340592049922,0.743647656691135,0.449286023672565,0.658308284347333,post_stronger,0.329154142173666
woods_sum,mip_pp_3,22,-0.243916867188603,-0.603466392320797,0.198059506679782,-0.335031984630286,-0.662991366378911,0.100817112780949,-0.0911151174416825,-0.424197584369851,0.219246299427749,0.722190852625635,0.56496245629472,0.578709608203664,post_stronger,0.289354804101832
woods_sum,mip_pp_4,22,-0.243916867188603,-0.603466392320797,0.198059506679782,-0.335031984630286,-0.662991366378911,0.100817112780949,-0.0911151174416825,-0.424197584369851,0.219246299427749,0.722190852625635,0.56496245629472,0.578709608203664,post_stronger,0.289354804101832
woods_sum,mip_pp_5,22,-0.0922469822546226,-0.49461866704328,0.342689376485286,-0.21844990889745,-0.586080179682641,0.223767607778658,-0.126202926642827,-0.547800418595886,0.280446949509967,0.663466967814794,0.688649926835914,0.499366848714233,post_stronger,0.249683424357116
woods_sum,sindex_pp,22,0.14827429049516,-0.29156069206502,0.536353310968982,-0.0316922147623243,-0.447323654720271,0.395196734466351,-0.179966505257485,-0.517005259957851,0.214608987877475,0.672501411631846,0.996249894827821,0.331648220550191,pre_stronger_or_equal,0.834175889724904
dsq_sum,mip,22,-0.139824651771752,-0.530178416031423,0.299435918039866,-0.420040047022835,-0.715023282047084,0.00190592468490985,-0.280215395251083,-0.518255559634658,-0.0318759106834299,0.763143018654607,2.05400087178345,0.0539967034487374,post_stronger,0.0269983517243687
dsq_sum,smip,22,-0.0837342518633573,-0.48811088695943,0.35023869544583,-0.193886409845446,-0.568983763659007,0.247994103778096,-0.110152157982089,-0.354017474134952,0.126756423084945,0.91525438335958,1.22370232892105,0.236023833659225,post_stronger,0.118011916829612
