"data_source","outcome","respiratory","pearson_r","pearson_p","spearman_rho","spearman_p","n"
"combined_visits","woods_sum","mip_pre_max",-0.360894174304321,0.0221476526651849,-0.434231634342869,0.0051164522717601,40
"visit1_only","woods_sum","mip_pre_max",-0.286137123870936,0.196719589030284,-0.293884908753055,0.18433671463339,22
"combined_visits","woods_sum","mip_pre_max_percentpredict_1",-0.360788558773012,0.0221895507070016,-0.424232600901554,0.00636840309053997,40
"visit1_only","woods_sum","mip_pre_max_percentpredict_1",-0.21443848497324,0.337908567531963,-0.332768255004406,0.130223527744314,22
"combined_visits","woods_sum","mip_pre_max_percentpredict_2",-0.326268483312219,0.0399104688121014,-0.353213617823799,0.0253719298679608,40
"visit1_only","woods_sum","mip_pre_max_percentpredict_2",-0.112040305712681,0.619606542806805,-0.21618617927157,0.333891062213269,22
"combined_visits","woods_sum","mip_pre_max_percentpredict_3",-0.342794475715724,0.0303602356812301,-0.40240954914786,0.0100469454781649,40
"visit1_only","woods_sum","mip_pre_max_percentpredict_3",-0.149403438869241,0.506946741754386,-0.243916867188603,0.273991186277722,22
"combined_visits","woods_sum","mip_pre_max_percentpredict_4",-0.342794475715724,0.0303602356812301,-0.40240954914786,0.0100469454781649,40
"visit1_only","woods_sum","mip_pre_max_percentpredict_4",-0.149403438869241,0.506946741754386,-0.243916867188603,0.273991186277722,22
"combined_visits","woods_sum","mip_pre_max_percentpredict_5",-0.294952963616019,0.0646548621116497,-0.304864270403977,0.0557733314008683,40
"visit1_only","woods_sum","mip_pre_max_percentpredict_5",-0.0275012092808806,0.903306851221444,-0.0922469822546226,0.683058601815072,22
"combined_visits","woods_sum","sindex_pre_max_percentpredict",-0.123391665107752,0.454233141500899,-0.0640449081915944,0.698500436967626,39
"visit1_only","woods_sum","sindex_pre_max_percentpredict",0.118360129371042,0.599859415741684,0.14827429049516,0.510199243325366,22
"combined_visits","woods_sum","smip_pre_max",-0.111024391667183,0.495221876828881,-0.127834169539958,0.431814710954002,40
"visit1_only","woods_sum","smip_pre_max",0.195860976898633,0.38236332381738,0.212224652426279,0.343038527578394,22
"combined_visits","woods_sum","fit_pre_max",-0.0241188154295092,0.882559742565376,-0.0624764429795327,0.701734228351432,40
